post_id,mongo_id,platform,profile_url,source_stage,url,content_snippet,subtopic,nexus,violations,event,violations_str,violation_labels,violation_labels_str,reasoning,speech_type,intent,intensity_score,intensity_label,protected_expression,borderline,confidence,needs_url_enrichment,needs_fact_check,claim_to_verify,fact_check_note,enriched_from_url,fact_checked,skipped,status,stance,tone,target,polarity,sentiment_confidence,sentiment_reasoning,sentiment_skipped,sentiment_status
FwAgj5nKy7w,6a53c8aa6dadc213c0cc92fd,youtube,https://www.youtube.com/channel/UC6RJ7-PaXg6TIH2BzZfTV7w,search,https://www.youtube.com/watch?v=FwAgj5nKy7w,"CJP's Abhijeet Dipke Uses Taylor Swift's Song To Mock Dharmendra Pradhan: 'It's Me, Hi, I'M The...' CJP's Abhijeet Dipke Uses Taylor Swift's Song To Mock Dharmendra Pradhan: 'It's Me, Hi, I'M The...' #cjp #abhijeetdipke #cjpprotest #taylorswift #timesnow #shorts Times Now - Times Now News channel examines news with in-depth analysis. We provide much more than the Get Breaking news, the Latest news, Politics news, of the day. Times Network houses upscale television channels. Times Network takes…",abhijeet dipke cjp,,['NONE'],,NONE,['NONE'],NONE,"This content reports on a CJP leader using satire to mock a politician, which is a form of political criticism and protected expression.",satire_meme,report on satirical political criticism,1,low,TRUE,FALSE,1,FALSE,FALSE,,,FALSE,FALSE,FALSE,ok,pro_cjp,mocking,pradhan,negative,0.85,"Dipke uses a Taylor Swift song to mock Dharmendra Pradhan, indicating support for CJP's anti-government stance.",FALSE,ok
NgL5HDsX794,6a53c8ac6dadc213c0cc9300,youtube,https://www.youtube.com/channel/UCs9CN0cbwdQnbNvFgW55ZyQ,search,https://www.youtube.com/watch?v=NgL5HDsX794,"CJP Founder Abhijeet Dipke Drama Exposed! Overacting Peaks in Delhi🎭🚔 #Viral #Trending #Cjp #India Check out the ultimate Oscar-level drama in Indian politics! Cockroach Janta Party (CJP) founder Abhijeet Dipke went viral during a protest in Delhi for a hilarious overacting stunt. While attempting a publicity stunt by dramatically falling and catching a police officer's feet, the cop simply tried to stop him by pushing him back and lightly touching his shoulder/neck area. Instantly, Dipke start…",abhijeet dipke cjp,,['NONE'],,NONE,['NONE'],NONE,"This content criticizes a protest leader's actions as 'drama' or 'overacting,' which is political criticism and protected expression.",political_criticism,criticize a protest leader's actions,2,low,TRUE,FALSE,1,FALSE,FALSE,,,FALSE,FALSE,FALSE,ok,anti_cjp,mocking,dipke,negative,0.9,"The text explicitly calls Dipke's actions 'drama exposed' and 'hilarious overacting stunt', mocking him and the protest.",FALSE,ok
2GhSDBfn8p4,6a53c8ac6dadc213c0cc9301,youtube,https://www.youtube.com/channel/UCxwOzeiqH88wAvYmpWeEy5A,search,https://www.youtube.com/watch?v=2GhSDBfn8p4,CJP Protest Updates: जंतर-मंतर से Abhijeet Dipke की NEET छात्रों के माता-पिता से अपील भावुक अपील CJP Protest Updates: जंतर-मंतर से Abhijeet Dipke की NEET छात्रों के माता-पिता से अपील भावुक अपील #abhijeetdipke #emotionalappeal #NEETstudents #jantarmantar #cjpprotest #viralvideo #dynamitenews,abhijeet dipke cjp,,['NONE'],,NONE,['NONE'],NONE,"This content reports on a protest leader's emotional appeal to parents, which is news reporting and protected expression.",news_report,report on a protest leader's appeal,0,none,TRUE,FALSE,1,FALSE,FALSE,,,FALSE,FALSE,FALSE,ok,neutral_news,informative,cjp,neutral,0.8,Reports on Dipke's emotional appeal to NEET students' parents without taking a side.,FALSE,ok
wgjCDK5nu_0,6a53c8ad6dadc213c0cc9302,youtube,https://www.youtube.com/channel/UCa6PbNslPNT1V2tybTIbUkg,search,https://www.youtube.com/watch?v=wgjCDK5nu_0,"Sonam Wangchuk Made 'Bakra' by Abhijeet Dipke?😂 | CJP Protest #shorts Sonam Wangchuk's Made 'Bakra' by Abhijeet Dipke?😂 | CJP Protest #shorts Sonam Wangchuk is once again making headlines after viral clips from an ongoing protest began circulating across social media. The videos have sparked widespread discussion online, with users reacting to moments from the protest and comments made by several participants. As the clips gained traction, the conversation expanded beyond the protest itself to…",abhijeet dipke cjp,,['NONE'],,NONE,['NONE'],NONE,"This content uses a colloquial term ('Bakra') to question or mock a protest leader's involvement, which is political criticism/satire and protected expression.",political_criticism,question or mock a protest leader's actions,2,low,TRUE,FALSE,1,FALSE,FALSE,,,FALSE,FALSE,FALSE,ok,anti_cjp,mocking,dipke,negative,0.85,The title 'Sonam Wangchuk Made 'Bakra' by Abhijeet Dipke?😂' suggests mocking of Dipke and the protest's credibility.,FALSE,ok
ymSxYyhEPow,6a53c8ad6dadc213c0cc9303,youtube,https://www.youtube.com/channel/UCCJRFl1Qjo83GG_09U-DIBA,search,https://www.youtube.com/watch?v=ymSxYyhEPow,Cockroach Janta Party Protest में Abhijeet Dipke ने Delhi Police अफसर के पैर क्यों पकड़े? Wangchuk Cockroach Janta Party Protest में Abhijeet Dipke ने Delhi Police अफसर के पैर क्यों पकड़े? Wangchuk #JantarMantar #CJP #AbhijeetDeepke #SonamWangchuk #NEET #NEETControversy #DelhiPolice #ViralVideo #StudentProtest #HungerStrike #DelhiRain #BreakingNews #HindiNews #LatestNews दिल्ली के जंतर-मंतर पर चल रहे CJP (कॉकरोच जनता पार्टी) के प्रदर्शन के बीच एक भावुक वीडियो सोशल मीडिया पर वायरल हो रहा है। CJP…,abhijeet dipke cjp,,['NONE'],,NONE,['NONE'],NONE,"This content reports on a specific action during a protest and provides context, which is news reporting and protected expression.",news_report,report and explain a protest event,0,none,TRUE,FALSE,1,FALSE,FALSE,,,FALSE,FALSE,FALSE,ok,neutral_news,informative,dipke,neutral,0.85,The snippet asks a question about Dipke's actions and provides context as news reporting.,FALSE,ok
sBPP2s58iqU,6a53c8ae6dadc213c0cc9304,youtube,https://www.youtube.com/channel/UCKS2lBhhZZGipYENVHxMBkQ,search,https://www.youtube.com/watch?v=sBPP2s58iqU,"#Shorts | Abhijeet Dipke Shares Video of Clash Between Protesters and Delhi Police | CJP | Wangchuk #Shorts | Abhijeet Dipke Shares Video of Clash Between Protesters and Delhi Police | CJP | Wangchuk #AbhijeetDipke #JantarMantar #DelhiPolice #CockroachJanataParty #CJP To get the latest news updates at your fingertips, download the HW News Shorts app: https://onelink.to/85hk86 Join Our WhatsApp Group: https://linktr.ee/sujitnair Support independent journalism by subscribing to HW News English Pr…",abhijeet dipke cjp,,['NONE'],,NONE,['NONE'],NONE,"This content reports on a clash between protesters and police, which is news reporting and protected expression.",news_report,report on a protest incident,0,none,TRUE,FALSE,1,FALSE,FALSE,,,FALSE,FALSE,FALSE,ok,neutral_news,informative,cjp,neutral,0.8,"Reports on Dipke sharing a video of a clash between protesters and police, acting as a news update.",FALSE,ok
r-GBZyvPa5A,6a53c8ae6dadc213c0cc9305,youtube,https://www.youtube.com/channel/UCE0Xs8Lr_jyqiFo9Q43zLIQ,search,https://www.youtube.com/watch?v=r-GBZyvPa5A,CJP Founder Abhijeet Dipke Urges Parents to Join the July 20 Parliament March CJP Founder Abhijeet Dipke Urges Parents to Join the July 20 Parliament March.,abhijeet dipke cjp,,['NONE'],,NONE,['NONE'],NONE,"This content reports on a protest leader urging participation in a march, which is news reporting and mobilization, and protected expression.",mobilization,report on protest mobilization,1,low,TRUE,FALSE,1,FALSE,FALSE,,,FALSE,FALSE,FALSE,ok,pro_cjp,supportive,cjp,positive,0.85,"Dipke urges parents to join the march, which is a direct call to action supporting the CJP protest.",FALSE,ok
78hajpridnw,6a53c8af6dadc213c0cc9306,youtube,https://www.youtube.com/channel/UCSgcaMp8QymVfksxtkKvBNA,search,https://www.youtube.com/watch?v=78hajpridnw,"CJP Protest Jantar Mantar: Sonam Wangchuk Hunger Strike का 15वां दिन | Abhijeet Dipke CJP Protest Jantar Mantar: Sonam Wangchuk Hunger Strike का 15वां दिन | Abhijeet Dipke | This isn’t even about politics anymore, he’s literally risking his own life out there ...wake up !! #bjp #modi #cjp #sonamwangchuk #protest SonamWangchuk NEETProtest JantarMantar HungerStrike PrakashRaj NEETExam DelhiProtest CJP HindiNews ParliamentMarch @PartyCockroachJanta @a-cockroach_2029 @c.j.p2026",abhijeet dipke cjp,,['NONE'],,NONE,['NONE'],NONE,"This post reports on a hunger strike and protest, expressing concern for the protester's well-being and calling for awareness.",news_report,report on protest and mobilize support,2,low,TRUE,FALSE,0.9,FALSE,FALSE,,,FALSE,FALSE,FALSE,ok,pro_cjp,sympathetic,cjp,negative,0.8,"The text expresses concern for Sonam Wangchuk ('risking his own life') and urges people to 'wake up', indicating support for the protest.",FALSE,ok
_T7fQJhZRRE,6a53c8b06dadc213c0cc9308,youtube,https://www.youtube.com/channel/UCP_wvXToU5ohFLbTAkatvsw,search,https://www.youtube.com/watch?v=_T7fQJhZRRE,"Cockroach Janta Party Protest: Abhijeet Dipke ने पकड़े पैर, जोड़े हाथ, अब हंगामा | CJP Protest #JantarMantar #CJP #AbhijeetDeepke #SonamWangchuk #NEET #NEETControversy #DelhiPolice #ViralVideo #StudentProtest #HungerStrike #DelhiRain #BreakingNews #HindiNews #LatestNews Cockroach Janta Party Protest: Abhijeet Dipke ने पकड़े पैर, जोड़े हाथ, अब हंगामा | CJP Protest ------------------------------------------------------------------------------------------------------------- About Channel: Amar Uja…",abhijeet dipke cjp,,['NONE'],,NONE,['NONE'],NONE,"This post reports on a protest event and a specific action by a CJP leader, which is news reporting.",news_report,report on protest activities and leader's actions,1,low,TRUE,FALSE,0.9,FALSE,FALSE,,,FALSE,FALSE,FALSE,ok,neutral_news,informative,dipke,neutral,0.8,"Reports on Dipke's actions (holding feet, joining hands) and the resulting 'commotion' as news.",FALSE,ok
kmYYdEHT0H0,6a53c8b16dadc213c0cc930a,youtube,https://www.youtube.com/channel/UCj6BCRfFh0vOLhAa4fuuHIQ,search,https://www.youtube.com/watch?v=kmYYdEHT0H0,"विदेश से वापिस लौटकर लड़ रहा है सिस्टम से , abhijeet Dipke cjp Founder",abhijeet dipke cjp,,['NONE'],,NONE,['NONE'],NONE,"This post is a short, descriptive statement about a CJP founder fighting the system, which is supportive political commentary.",political_criticism,express support for a political figure,1,low,TRUE,FALSE,0.8,FALSE,FALSE,,,FALSE,FALSE,FALSE,ok,pro_cjp,supportive,dipke,positive,0.8,"The snippet praises Dipke for fighting the system after returning from abroad, showing support for him and CJP.",FALSE,ok
